,0,1,2,3,4,5,6,7,8,9
186,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,,,,,
187,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,,,,,
188,nan,,,,,,,,,
189,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,,,,,
190,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,,,,,
191,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,,,,,
192,nan,,,,,,,,,
193,"84142 : Roth, Karl Ludwig, 1790-1868",,,,,,,,,
194,"84138: Ritschl, Friedrich Wilhelm, 1806-1876"," 84136: Reifferscheid, August, 1835-1887",,,,,,,,
195,nan,,,,,,,,,
196,nan,,,,,,,,,
197,"84138 : Ritschl, Friedrich Wilhelm, 1806-1876"," 84136: Reifferscheid, August, 1835-1887",,,,,,,,
198,nan,,,,,,,,,
199,"89563 : Mohr, Paul",,,,,,,,,
200,nan,,,,,,,,,
201,"Zangemeister, Karl Friedrich Wilhelm, 1837-1902",,,,,,,,,
202,nan,,,,,,,,,
203,"Jahn, Johann Christian",,,,,,,,,
204,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
205,"Güthling, Otto, 1853-1931",,,,,,,,,
206,"91713 : Ribbeck, Otto, 1827-1898",,,,,,,,,
207,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
208,"Janell, Walther, 1877-1932"," 91713 : Ribbeck, Otto, 1827-1898",,,,,,,,
209,"91713 : Ribbeck, Otto, 1827-1898",,,,,,,,,
210,"Zangemeister, Karl Friedrich Wilhelm, 1837-1902",,,,,,,,,
211,"84090 : Heiberg, J. L. (Johan Ludvig), 1854-1928",,,,,,,,,
212,"91549 : Schenkl, Karl, 1827-1900"," Benndorf, Otto, 1838-1907",,,,,,,,
213,"89679 : Fickelscherer, Martin",,,,,,,,,
214,"84174 : Schmitt, Johann Christoph",,,,,,,,,
215,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
216,"Zangemeister, Karl Friedrich Wilhelm, 1837-1902",,,,,,,,,
217,"Güthling, Otto, 1853-1931",,,,,,,,,
218,"91713 : Ribbeck, Otto, 1827-1898",,,,,,,,,
219,"91713 : Ribbeck, Otto, 1827-1898",,,,,,,,,
220,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
221,"Güthling, Otto, 1853-1931",,,,,,,,,
222,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
223,"91713 : Ribbeck, Otto, 1827-1898",,,,,,,,,
224,"84099 : Ihm, Max, 1863-1909",,,,,,,,,
225,"91713 : Ribbeck, Otto, 1827-1898",,,,,,,,,
226,"89684: Merkel, Rudolf, 1811-1885",,,,,,,,,
227,"89684: Merkel, Rudolf, 1811-1885",,,,,,,,,
228,nan,,,,,,,,,
229,"Kuun, Géza, 1838-1905",,,,,,,,,
230,"Kuun, Géza, 1838-1905",,,,,,,,,
231,"89461 : Haase, Friedrich, 1808-1867",,,,,,,,,
232,"Dietrich, Waldemar, 1882-",,,,,,,,,
233,"Dietrich, Waldemar, 1882-",,,,,,,,,
234,"Mueller, Otto, 1833-",,,,,,,,,
235,"84050 : Christ, Wilhelm von, 1831-1906",,,,,,,,,
236,"Benoist, Eugène, 1831-1887",,,,,,,,,
237,"Benoist, Eugène, 1831-1887",,,,,,,,,
238,"84097 : Hosius, Carl, 1866-1937",,,,,,,,,
239,"91728 : Ehwald, Rudolf, 1847-1927"," 89684 : Merkel, Rudolf, 1811-1885",,,,,,,,
240,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
241,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
242,"Klotz, Alfred, 1874-1956",,,,,,,,,
243,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
244,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
245,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
246,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
247,"Klotz, Alfred, 1874-1956",,,,,,,,,
248,"89684 : Merkel, Rudolf, 1811-1885"," 91728 : Ehwald, Rudolf, 1847-1927",,,,,,,,
249,"91728 : Ehwald, Rudolf, 1847-1927"," 89684 : Merkel, Rudolf, 1811-1885",,,,,,,,
250,"Kohlmann, Philipp, 1842-1889",,,,,,,,,
251,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
252,"91728 : Ehwald, Rudolf, 1847-1927"," 89684 : Merkel, Rudolf, 1811-1885",,,,,,,,
253,"84117 : Lommatzsch, Ernst, 1871-1949",,,,,,,,,
254,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
