Index,DLL Author,DLL Editors,DLL Works,Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
https://catalog.hathitrust.org/Record/007476064,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,Scripta quae manserunt omnia.,Lipsiae,in aedibus B. G. Teubneri,1893,https://catalog.hathitrust.org/Record/007476064,1893,,19 v.,,,Hathi Trust,University of Minnesota,,
https://catalog.hathitrust.org/Record/008910454,,"91862 : Peter, Hermann, 1837-1914",,Scriptores historiae Augustae,Lipsiae,in aedibus B. G. Teubneri,1884,https://catalog.hathitrust.org/Record/008910454,1884,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
https://catalog.hathitrust.org/Record/001724597,,"91826 : Hohl, Ernst, 1886-1957",,Scriptores historiae Augustae.,Lipsiae,in aedibus B. G. Teubneri,1965,https://catalog.hathitrust.org/Record/001724597,1965,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
https://catalog.hathitrust.org/Record/007964410,,"91862 : Peter, Hermann, 1837-1914",,Scriptores historiae avgvstae,Lipsiae,B. G. Teubner,1884,https://catalog.hathitrust.org/Record/007964410,1884,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Wisconsin - Madison,"Rome; History; Emperors; Empire, 30 B.C.-284 A.D.; Biography.",
https://catalog.hathitrust.org/Record/001809600,"45347 : Propertius, Sextus","84097 : Hosius, Carl, 1866-1937",,Sex. Propertii Elegiarum libri IV,Lipsiae,in aedibus B. G. Teubneri,1911,https://catalog.hathitrust.org/Record/001809600,1911,190 p.,,,,Hathi Trust,University of California,,
https://catalog.hathitrust.org/Record/100380439,44521 : Amarcius,"91848 : Manitius, Max, 1858-1933",,Sexti Amarcii Galli Piosistrata Sermonum libri IV: e codice dresdensi A.167a,Lipsiae,in aedibus B. G. Teubneri,1888,https://catalog.hathitrust.org/Record/100380439,1888,105 p.,,Sexti Amarcii Galli Piosistrata Sermonum libri IV,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
https://catalog.hathitrust.org/Record/008900043,"45776 : Festus, Sextus Pompeius; 45127 : Paul, the Deacon, 720-799?; 72032 : Verrius Flaccus, Marcus","89467 : Lindsay, W. M. (Wallace Martin), 1858-1937;89677 : Thewrewk, Emil, Ponori, 1838-1917",,Sexti Pompei Festi De verborum significatu quae supersunt cum Pauli epitome,Lipsiae,in aedibus B. G. Teubneri,1913,https://catalog.hathitrust.org/Record/008900043,1913,573 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Princeton University,Latin language; Dictionaries.,
https://catalog.hathitrust.org/Record/012298546,"45385 : Silius Italicus, Tiberius Catius","91780 : Bauer, Ludwig, active 1883-1892",,Sili Italici Punica,Lipsiae,in aedibus B. G. Teubneri,1890,https://catalog.hathitrust.org/Record/012298546,1890,,2 v.,,,Hathi Trust,University of Illinois at Urbana-Champaign,Poetry.; 218-201 B.C.; 2nd; Punic War,
https://catalog.hathitrust.org/Record/011665086,"45396 : Statius, P. Papinius (Publius Papinius)","84045 : Baehrens, Emil, 1848-1888",,Silvae.,Lipsiae,B. G. Teubner,1897,https://catalog.hathitrust.org/Record/011665086,1897,157 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Cornell University,,
https://catalog.hathitrust.org/Record/100006543,"45396 : Statius, P. Papinius (Publius Papinius)","84186 : Vollmer, Friedrich, 1867-1923",,Silvarum libri,Leipzig,B. G. Teubner,1898,https://catalog.hathitrust.org/Record/100006543,1898,598 p.,,,,Hathi Trust,University of Minnesota,,
https://catalog.hathitrust.org/Record/009774996,"45777 : Frontinus, Sextus Julius","89694 : Gundermann, Gotthold, 1856-1921",,Strategematon libri qvattvor edidit Gottholdvs Gvndermann.,Lipsiae,in aedibus B. G. Teubneri,1888,https://catalog.hathitrust.org/Record/009774996,1888,176 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Virginia,Early works to 1800; Military art and science,
https://catalog.hathitrust.org/Record/100151422,"45036 : Cicero, Marcus Tullius","91836 : Knoellinger, Hermann, 1883-1914",,Supplementum Ciceronianum.,Lipsiae,B. G. Teubner,1908,https://catalog.hathitrust.org/Record/100151422,1908,96 p.,,,,Hathi Trust,Cornell University,,
https://catalog.hathitrust.org/Record/008368330,"45255 : Lucretius Carus, Titus","91785 : Bernays, Jacob, 1824-1881",,T. Lucreti Cari De rerum natura libri sex,Lipsiae,sumptibus et typis B. G. Teubneri,1862,https://catalog.hathitrust.org/Record/008368330,1862,198 p.,,,,Hathi Trust,University of Wisconsin - Madison,,
https://catalog.hathitrust.org/Record/007964501,"45255 : Lucretius Carus, Titus","91785 : Bernays, Jacob, 1824-1881",,T. Lucreti Cari De rerum natura libri sex,Lipsiae,in aedibus B. G. Teubneri,1886,https://catalog.hathitrust.org/Record/007964501,1886,198 p.,,,,Hathi Trust,University of Wisconsin - Madison,,
https://catalog.hathitrust.org/Record/011624062,"45255 : Lucretius Carus, Titus","91785 : Bernays, Jacob, 1824-1881",,T. Lucreti Cari De rerum natura libri sex.,Lipsiae,sumptibus et typis B. G. Teubneri,1852,https://catalog.hathitrust.org/Record/011624062,1852,198 p.,,,,Hathi Trust,Harvard University,,
