Index,Author,Editor,DLL Work Authority Record(s),Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
721,45254 : Livy,"84187 : Weissenborn, Wilhelm, 1803-1878",,Titi Livi Ab urbe condita libri,Lipsiae,B. G. Teubner,1894,https://catalog.hathitrust.org/Record/100609182,1894,,6 v.,,,Hathi Trust,University of California,,
723,45254 : Livy,"84128 : Müller, Moritz, 1854-",,Titi Livi Ab urbe condita Liber I. Für den Schulgebrauch,Leipzig,B. G. Teubner,1875,https://catalog.hathitrust.org/Record/100509897,1875,164 p.,,,,Hathi Trust,Harvard University,,
736,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,Tusculanarum disputationum. Libri quinque.,Lipsiae,B. G. Teubner,1891,https://catalog.hathitrust.org/Record/001808317,1891,466 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,,
747,45443 : Vitruvius Pollio,,,Vitruvii De architectura libri decem. Iterum edidit Valentinus Rose. [Bibliotheca scriptorum Graecorum et Romanorum Teubneriana.],Lipsiae,B. G. Teubner,1899,https://catalog.hathitrust.org/Record/001810783,1899,317 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,,
782,,"Peter, Hermann, 1837-1914",,Scriptores historiae avgvstae,Lipsiae,B. G. Teubner,1884,https://catalog.hathitrust.org/Record/007964410,1884,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Wisconsin - Madison,"Rome; History; Emperors; Empire, 30 B.C.-284 A.D.; Biography.",
790,"45396 : Statius, P. Papinius (Publius Papinius)","84045 : Baehrens, Emil, 1848-1888",,Silvae.,Lipsiae,B. G. Teubner,1897,https://catalog.hathitrust.org/Record/011665086,1897,157 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Cornell University,,
791,"45396 : Statius, P. Papinius (Publius Papinius)","84186 : Vollmer, Friedrich, 1867-1923",,Silvarum libri,Leipzig,B. G. Teubner,1898,https://catalog.hathitrust.org/Record/100006543,1898,598 p.,,,,Hathi Trust,University of Minnesota,,
795,"45036 : Cicero, Marcus Tullius","Knoellinger, Hermann, 1883-1914",,Supplementum Ciceronianum.,Lipsiae,B. G. Teubner,1908,https://catalog.hathitrust.org/Record/100151422,1908,96 p.,,,,Hathi Trust,Cornell University,,
801,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,"Orationes: De provinciis consularibus, Pro L. Cornelio Balbo, In L. Calpurnium Pisonem, Pro Cn. Plancio, Pro M. Aemilio Scauro, Pro C. Rabirio postumo.",Lipsiae,B. G. Teubner,1886,https://catalog.hathitrust.org/Record/100487304,1886,273 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
802,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,Orationes.,Lipsiae,B. G. Teubner,1899,https://catalog.hathitrust.org/Record/100487244,1899,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
838,45165 : Horace,"89601 : Holder, Alfred, 1840-1916; Keller, Otto, 1838-1927",,Opera recensvervnt O. Keller et A. Holder.,Lipsiae,B. G. Teubner,1864,https://catalog.hathitrust.org/Record/100675366,1864,,2 v.,,,Hathi Trust,University of Minnesota,,
843,"45615 : Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.",,,Opera quae supersunt.,Lipsiae,B. G. Teubner,1905,https://catalog.hathitrust.org/Record/009027295,1905,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Princeton University,,
844,"45615 : Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","89461 : Haase, Friedrich, 1808-1867",,Opera quae supersunt: recognovit et rerum indicem locupletissimum adiecit Fredericus Haase.,Lipsiae,B. G. Teubner,1892,https://catalog.hathitrust.org/Record/100495266,1892,,3 v.,Opera quae supersunt,,Hathi Trust,Harvard University,,
847,"89412 : Ptolemy, active 2nd century","84090 : Heiberg, J. L. (Johan Ludvig), 1854-1928",,Opera quae exstant omnia.,Lipsiae,B. G. Teubner,1898,https://catalog.hathitrust.org/Record/008234693,1898,,3 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California,,
849,45429 : Virgil,"Huemer, Johann, 1849-1915",,Opera,Lipsiae,B. G. Teubner,1886,https://catalog.hathitrust.org/Record/100320549,1886,195 p.,,,,Hathi Trust,Harvard University,,
859,45429 : Virgil,"Ribbeck, Otto, 1827-1898",,Opera in usum scholarum,Lipsiae,B. G. Teubner,1881,https://catalog.hathitrust.org/Record/001810464,1881,430 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,,
867,52595 : Martianus Capella,"Eyssenhardt, Franz, 1838-1901",,Martianus Capella; Accedvnt scholia in Caesaris Germanici Aratea,Lipsiae,B. G. Teubner,1866,https://catalog.hathitrust.org/Record/008910834,1866,490 p.,,,,Hathi Trust,University of California,,
868,52595 : Martianus Capella,"Eyssenhardt, Franz, 1838-1901",,Martianus Capella,Lipsiae,B. G. Teubner,1866,https://catalog.hathitrust.org/Record/100740227,1866,490 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Chicago,,
