Author,Editor,DLL Work Authority Record(s),Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
"45336 : Plautus, Titus Maccius","89571 : Fleckeisen, Alfred, 1820-1899",Amphitruo (81237);Captivi (81241);Miles Gloriosus (81249);Rudens (81254);Trinummus (81256);Asinaria (81238);Bacchides (81240);Curculio (81244);Pseudolus (81253);Stichus (81255),Comoediae,Lipsiae,in aedibus B. G. Teubneri,1874,https://catalog.hathitrust.org/Record/100346341,1874,,2 v.,,,HathiTrust,Harvard University,Comedy.; Latin literature.,
"44793 : Catullus, Gaius Valerius","84127 : Müller, Lucian, 1836-1898",Carmina (87405),Carmina,Lipsiae,in aedibus B. G. Teubneri,1891,https://catalog.hathitrust.org/Record/011725343,1891,74 p.,,,,HathiTrust,University of Wisconsin - Madison,,
"45338 : Pliny, the Elder","84121 : Mayhoff, Karl, 1841-1914; 84101 : Jan, Ludwig von 1807-1869",Naturalis Historia (81263),C. Plini Secundi Naturalis historiae libri XXXVII: post Ludovici Iani obitum recognovit et scripturae discrepantia adiecta,Lipsiae,in aedibus B. G. Teubneri,1892,https://catalog.hathitrust.org/Record/005377732,1892,,5 v.,,,HathiTrust,University of Michigan,Natural history; Pre-Linnean works.,
"45036 : Cicero, Marcus Tullius","89685 : Nauck, C. W. (Carl Wilhelm), 1813-",De Republica (80939),M. Tuli Ciceronis librorum de re publica sex quae supersunt,Lipsiae,in aedibus B. G. Teubneri,1889,https://catalog.hathitrust.org/Record/006540418,1889,379 p.,,,,Hathi Trust,University of California,,
"45930 : Varro, Marcus Terentius","84089 : Goetz, Georg, 1849-1932; 84108 : Keil, Heinrich, 1822-1894",Res Rusticae (81867),M. Terenti Varronis Rerum rusticorum libri tres,Lipsiae,in aedibus B. G. Teubneri,1912,https://catalog.hathitrust.org/Record/007115264,1912,162 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California,Early works to 1800; Agriculture,
"45930 : Varro, Marcus Terentius","84108 : Keil, Heinrich, 1822-1894",Res Rusticae (81867),M. Terenti Varronis Rerum rusticarum libri tres,Lipsiae,in aedibus B. G. Teubneri,1889,https://catalog.hathitrust.org/Record/100370420,1889,173 p.,,,,Hathi Trust,Harvard University,Early works to 1800; Agriculture,
"45709 : Cato, Marcus Porcius; 45930 : Varro, Marcus Terentius","84108 : Keil, Heinrich, 1822-1894",De Agri Cultura (81637);Res Rusticae (81867),M. Porci Catonis De agri cvltvra liber. M. Terenti Varronis Rervm rvsticarvm libri tres.,Lipsiae,in aedibus B. G. Teubneri,1884,https://catalog.hathitrust.org/Record/009021003,1884,,3 v.,,,Hathi Trust,Northwestern University,Early works to 1800; Agriculture,
"45709 : Cato, Marcus Porcius","84108 : Keil, Heinrich, 1822-1894",De Agri Cultura (81637),M. Porci Catonis De agri cvltura liber,Lipsiae,in aedibus B. G. Teubneri,1895,https://catalog.hathitrust.org/Record/006503936,1895,88 p.,,,,Hathi Trust,University of California,Early works to 1800; Agriculture,
"45709 : Cato, Marcus Porcius; 45930 : Varro, Marcus Terentius","Krumbiegel, Richard, 1867-; 84108 : Keil, Heinrich, 1822-1894",De Agri Cultura (81637);Res Rusticae (81867),M. Porci Catonis De agri cultura liber. M. Terenti Varronis Rerum rusticarum libri tres.,Lipsiae,in aedibus B. G. Teubneri,1882,https://catalog.hathitrust.org/Record/011682555,1882,,3 v.,,,Hathi Trust,Harvard University,,
"45709 : Cato, Marcus Porcius","84108 : Keil, Heinrich, 1822-1894",De Agri Cultura (81637),M. Porci Catonis De agri cultura liber,Lipsiae,in aedibus B. G. Teubneri,1895,https://catalog.hathitrust.org/Record/100179845,1895,88 p.,,,,Hathi Trust,University of Illinois at Urbana-Champaign,Early works to 1800; Agriculture; (OCoLC)fst00801355; (OCoLC)fst01204885; (OCoLC)fst01411636; Agriculture.; Early works.; fast; Rome (Empire); Rome.,
"45034 : Minucius Felix, Marcus","Boenig, Hermann",Octavius (80916),M. Minucii Felicis Octavius.,Lipsiae,in aedibus B. G. Teubneri,1903,https://catalog.hathitrust.org/Record/100376464,1903,116 p.,,,,Hathi Trust,Harvard University,"Early works to 1800; Apologetics; Early church, ca. 30-600; History",
"45034 : Minucius Felix, Marcus","84045 : Baehrens, Emil, 1848-1888",Octavius (80916),M. Minucii Felicis Octavius.,Lipsiae,in aedibus B. G. Teubneri,1886,https://catalog.hathitrust.org/Record/002181068,1886,64 p.,,,,Hathi Trust,Harvard University,Apologetics.,
"45034 : Minucius Felix, Marcus","84045 : Baehrens, Emil, 1848-1888",Octavius (80916),M. Minucii Felicis Octavius,Lipsiae,in aedibus B. G. Teubneri,1886,https://catalog.hathitrust.org/Record/100461709,1886,64 p.,,,,Hathi Trust,Columbia University,,
