,Index,DLL Author,DLL Editors,Same or Different?,DLL Works Rachel,DLL Works SJH,Title,Place,Publisher,Date,Archive,Library Catalog,,,,,,
169,https://catalog.hathitrust.org/Record/001725172,"44793 : Catullus, Gaius Valerius","84127 : Müller, Lucian, 1836-1898",Same,Carmina (87405);Carminum fragmenta (87406),Carmina (87405);Carminum fragmenta (87406),Q. Valerii Catulli Carmina,Lipsiae,in aedibus B. G. Teubneri,1885,https://catalog.hathitrust.org/Record/001725172,1885,74 p.,,,,HathiTrust,University of Michigan
309,https://catalog.hathitrust.org/Record/100662288,"44793 : Catullus, Gaius Valerius","84127 : Müller, Lucian, 1836-1898",Same,Carmina (87405);Carminum fragmenta (87406),Carmina (87405);Carminum fragmenta (87406),Q. Valerii Catvlli Carmina,Lipsiae,in aedibus B. G. Teubneri,1891,https://catalog.hathitrust.org/Record/100662288,1891,74 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Minnesota
568,https://catalog.hathitrust.org/Record/009774993,"44793 : Catullus, Gaius Valerius","84141 : Rossbach, August, 1823-1898",Same,Carmina (87405);Carminum fragmenta (87406),Carmina (87405);Carminum fragmenta (87406),Q. Valerii Catulli Liber,Lipsiae,in aedibus B. G. Teubneri,1860,https://catalog.hathitrust.org/Record/009774993,1860,76 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Virginia
148,https://catalog.hathitrust.org/Record/100583842,"44793 : Catullus, Gaius Valerius;45713 : Cinna, C. Helvius;45707 : Calvus, C. Licinius Macer;45797 : Laevius;45347 : Propertius, Sextus;45417 : Tibullus","84127 : Müller, Lucian, 1836-1898",Different,Carmina (87405);Carminum fragmenta (87406);Carmina (81748);Carmina (81634);Priapea (87607);Carmina (81652);Carmina Tibulliana (dub.) (81516);Elegiae (81281),Carmina (87405);Carminum fragmenta (87406);Carmina (81652);Carmina (81634);Carmina (81748);Priapea (87607);Elegiae (81517);Carmina Tibulliana (dub.) (81516);Elegiae (81281),"Catulli Tibulli, Propertii Carmina. Accedunt Laevii, Calvi, Cinnae, aliorum reliquiae et Priapea",Lipsiae,in aedibus B. G. Teubneri,1904,https://catalog.hathitrust.org/Record/100583842,1904,137 p.,,,,HathiTrust,University of California
151,https://catalog.hathitrust.org/Record/100323398,"44793 : Catullus, Gaius Valerius;45713 : Cinna, C. Helvius;45707 : Calvus, C. Licinius Macer;45797 : Laevius;45347 : Propertius, Sextus;45417 : Tibullus","84127 : Müller, Lucian, 1836-1898",Different,Carmina (87405);Carminum fragmenta (87406);Carmina (81748);Carmina (81634);Priapea (87607);Carmina (81652);Carmina Tibulliana (dub.) (81516);Elegiae (81281),Carmina (87405);Carminum fragmenta (87406);Carmina (81652);Carmina (81634);Carmina (81748);Priapea (87607);Elegiae (81517);Carmina Tibulliana (dub.) (81516);Elegiae (81281),"Catulli Tibulli, Propertii Carmina. Accedunt Laevii, Calvi, Cinnae, aliorum reliquiae et Priapea",Lipsiae,in aedibus B. G. Teubneri,1892,https://catalog.hathitrust.org/Record/100323398,1892,138 p.,,,,HathiTrust,Harvard University
154,https://catalog.hathitrust.org/Record/012467713,"44793 : Catullus, Gaius Valerius;Priapea;45713 : Cinna, C. Helvius;45707 : Calvus, C. Licinius Macer;45797 : Laevius;45347 : Propertius, Sextus;45417 : Tibullus","84127 : Müller, Lucian, 1836-1898",Different,Carmina (87405);Carminum fragmenta (87406);Carmina (81748);Carmina (81634);Priapea (87607);Carmina (81652);Carmina Tibulliana (dub.) (81516);Elegiae (81281),Carmina (87405);Carminum fragmenta (87406);Carmina (81652);Carmina (81634);Carmina (81748);Priapea (87607);Elegiae (81517);Carmina Tibulliana (dub.) (81516);Elegiae (81281),"Catulli Tibulli, Propertii Carmina. Accedunt Laevii, Calvi, Cinnae, aliorum reliquiae et Priapea",Lipsiae,in aedibus B. G. Teubneri,1885,https://catalog.hathitrust.org/Record/012467713,1885,138 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,Cornell University
10,https://catalog.hathitrust.org/Record/011531194,"44793 : Catullus, Gaius Valerius;Priapea;45797 : Laevius;45713 : Cinna, C. Helvius;45697 : Bibaculus, M. Furius (Marcus Furius);45834 : Matius, Cn.;45718 : Cornificius, Q. (Quintus);45920 : Ticidas;45836 : Memmius, C., -100 B.C.;71954 : Hortensius Hortalus, Q. (Quintus);45417 : Tibullus;45347 : Propertius, Sextus","84127 : Müller, Lucian, 1836-1898",Same,"Carmina (87405);Carminum fragmenta (87406);Carmina (81748);Carmina (81652);Carmina (81610);Carmina (81769);Carmina, fragmenta (81655);Carmina (81841);Carminum fragmenta (81771);Carmina (82157);Priapea (87607);Elegiae (81517);Carmina Tibulliana (dub.) (81516);Elegiae (81281)","Carmina (87405);Carminum fragmenta (87406);Carmina (81748);Carmina (81652);Carmina (81610);Carmina (81769);Carmina, fragmenta (81655);Carmina (81841);Carminum fragmenta (81771);Carmina (82157);Priapea (87607);Elegiae (81517);Carmina Tibulliana (dub.) (81516);Elegiae (81281)","Catulli, Tibulli, Propertii Carmina. Accedunt Laevii, Calvi, Cinnae, aliorum reliquiae et Priapea.",Lipsiae,in aedibus B. G. Teubneri,1870,https://catalog.hathitrust.org/Record/011531194,1870,138 p.,,,Bibliotheca scriptorum graecorum et romanorum Teubneriana,HathiTrust,Harvard University
107,https://catalog.hathitrust.org/Record/012445084,45367 : Sallust,"84053 : Dietsch, Heinrich Rudolf, 1814-1875",Same,Catilinae Coniuratio (81381);Bellum Iugurthinum (81380);Historiae (81382),Catilinae Coniuratio (81381);Bellum Iugurthinum (81380);Historiae (81382),Libri de Catilinae coniuratione et de bello Iugurthino. Accendunt orationes et epistulae ex Historiis excerptae.,Lipsiae,B.G. Teubner,1886,https://catalog.hathitrust.org/Record/012445084,1886,128 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Cornell University
56,https://catalog.hathitrust.org/Record/100851443,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Same,Cato Maior de Senectute (80922);Laelius de Amicitia (80955);Paradoxa Stoicorum (80960),Cato Maior de Senectute (80922);Laelius de Amicitia (80955);Paradoxa Stoicorum (80960),"M. Tullii Ciceronis Cato maior de senectute, Laelius de amicitia, paradoxa.",Leipzig,B.G. Teubner,1909,https://catalog.hathitrust.org/Record/100851443,1909,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California
57,https://catalog.hathitrust.org/Record/009780250,"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Same,Cato Maior de Senectute (80922);Laelius de Amicitia (80955);Paradoxa Stoicorum (80960),Cato Maior de Senectute (80922);Laelius de Amicitia (80955);Paradoxa Stoicorum (80960),"M. Tullii Ciceronis Cato maior de senectute, Laelius de amicitia, Paradoxa",Lipsiae,B. G. Teubner,1883,https://catalog.hathitrust.org/Record/009780250,1883,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Virginia
