Ed1;Ed2;2;3;4;5
"84045 : Baehrens, Emil, 1848-1888"
"84186 : Vollmer, Friedrich, 1867-1923"
"84045 : Baehrens, Emil, 1848-1888"
"91834 : Keller, Otto, 1838-1927"
"84127 : Müller, Lucian, 1836-1898"
"84127 : Müller, Lucian, 1836-1898"
"84127 : Müller, Lucian, 1836-1898"
"91888 : Vogel, Theodor, 1836-1912"
"84186 : Vollmer, Friedrich, 1867-1923"
"84142 : Roth, Karl Ludwig, 1790-1868"
"84190 : Wölfflin, Eduard von, 1831-1908"
"91875 : Schermann, Theodor, 1878-1922"
"91793 : Claussen, Johannes Diederich Detlef, 1849-1929"
"91834 : Keller, Otto, 1838-1927;89601 : Holder, Alfred, 1840-1916"
"84127 : Müller, Lucian, 1836-1898"
"91840 : Krüger, Gustav, 1837-1912"
"84127 : Müller, Lucian, 1836-1898"
"91817 : Hedicke, Edmund, 1840-"
"84127 : Müller, Lucian, 1836-1898"
"84127 : Müller, Lucian, 1836-1898"
"91888 : Vogel, Theodor, 1836-1912"
"84141 : Rossbach, August, 1823-1898"
"84174 : Schmitt, Johann Christoph"
"89612 : Reichardt, Walther, 1869-"
"89575 : Klotz, Reinhold, 1807-1870"
""
""
"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903"
"84103 : Kiessling, Adolf, 1837-1892"
"91820 : Heraeus, W. (Wilhelm), 1862-1938;84128 : Müller, Moritz, 1854-;84187 : Weissenborn, Wilhelm, 1803-1878"
"84086 : Friedlein, Gottfried, 1828-1875"
"89594 : Foss, Heinrich Eduard, 1805-1875"
"89594 : Foss, Heinrich Eduard, 1805-1875"
""
"89592 : Daremberg, Charles, 1817-1872"
"89592 : Daremberg, Charles, 1817-1872"
"91876 : Schiche, Theodor"
"89589 : Ziegler, Konrat, 1884-1974"
"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903"
"84191 : Zachariä von Lingenthal, Karl Eduard, 1812-1894"
""
"89551 : Dombart, Bernhard, 1832-1907"
"91731 : Frick, Karl, 1848-"
"84053 : Dietsch, Heinrich Rudolf, 1814-1875"
""
""
""
"89578 : Meister, Ferdinand Otto, 1828-1915"
"84099 : Ihm, Max, 1863-1909"
"91814 : Häckermann, Adolf 1819-"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"84094 : Hermann, Karl Friedrich, 1804-1855"
"84094 : Hermann, Karl Friedrich, 1804-1855"
""
"91845 : Löwe, Gustav, 1852-1883;84089 : Goetz, Georg, 1849-1932"
"89467 : Lindsay, W. M. (Wallace Martin), 1858-1937;84189 : Wessner, Paul, 1870-1933;91820 : Heraeus, W. (Wilhelm), 1862-1938;89694 : Gundermann, Gotthold, 1856-1921;91845 : Löwe, Gustav, 1852-1883;84089 : Goetz, Georg, 1849-1932"
"91885 : Thulin, Carl, 1871-1921"
"89560 : Halm, Karl, 1809-1882"
"89560 : Halm, Karl, 1809-1882"
"89560 : Halm, Karl, 1809-1882"
""
"89560 : Halm, Karl, 1809-1882"
"91820 : Heraeus, W. (Wilhelm), 1862-1938;Heraeus, Carl (Karl Jesaias), 1818-1891"
"89560 : Halm, Karl, 1809-1882"
"89571 : Fleckeisen, Alfred, 1820-1899;89560 : Halm, Karl, 1809-1882"
""
"89560 : Halm, Karl, 1809-1882"
"89560 : Halm, Karl, 1809-1882;89571 : Fleckeisen, Alfred, 1820-1899"
""
"84053 : Dietsch, Heinrich Rudolf, 1814-1875"
"89560 : Halm, Karl, 1809-1882"
"91818 : Helmreich, Georg, 1849-1921"
"89605 : Knöll, Pius"
"84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932"
"84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932"
"84176 : Schöll, Fritz, 1850-1919;84089 : Goetz, Georg, 1849-1932"
